部,090e8
都,090fd
郵,090f5
邦,090a6
那,090a3
郷,090f7
響,097ff
郎,090ce
廊,05eca
盾,076fe
循,05faa
派,06d3e
脈,08108
衆,08846
逓,09013
段,06bb5
鍛,0935b
后,0540e
幻,05e7b
司,053f8
伺,04f3a
詞,08a5e
飼,098fc
嗣,055e3
舟,0821f
舶,08236
航,0822a
舷,08237
般,0822c
盤,076e4
搬,0642c
船,08239
艦,08266
艇,08247
瓜,074dc
弧,05f27
孤,05b64
繭,07e6d
益,076ca
暇,06687
敷,06577
来,06765
気,06c17
汽,06c7d
飛,098db
沈,06c88
枕,06795
妻,059bb
凄,051c4
衰,08870
衷,08877
面,09762
麺,09eba
革,09769
靴,09774
覇,08987
声,058f0
眉,07709
呉,05449
娯,05a2f
誤,08aa4
蒸,084b8
承,0627f
函,051fd
極,06975
牙,07259
芽,082bd
邪,090aa
雅,096c5
釈,091c8
番,0756a
審,05be9
翻,07ffb
藩,085e9
毛,06bdb
耗,08017
尾,05c3e
宅,05b85
託,08a17
為,070ba
偽,0507d
畏,0754f
長,09577
張,05f35
帳,05e33
脹,08139
髪,09aea
展,05c55
喪,055aa
巣,05de3
単,05358
戦,06226
禅,07985
弾,05f3e
桜,0685c
獣,07363
脳,08133
悩,060a9
厳,053b3
鎖,09396
挙,06319
誉,08a89
猟,0731f
鳥,09ce5
鳴,09cf4
鶴,09db4
烏,070cf
蔦,08526
鳩,09ce9
鶏,09d8f
島,05cf6
暖,06696
媛,05a9b
援,063f4
緩,07de9
属,05c5e
嘱,05631
偶,05076
遇,09047
愚,0611a
隅,09685
逆,09006
塑,05851
遡,09061
岡,05ca1
鋼,092fc
綱,07db1
剛,0525b
缶,07f36
陶,09676
揺,063fa
謡,08b21
鬱,09b31
就,05c31
蹴,08e74
懇,061c7
墾,058be
